Linux 3.10.0-514.16.1.el7.x86_64 (b10-h05-r620.rdu.openstack.engineering.redhat.com_3.example.com) 	06/15/2017 	_x86_64_	(2 CPU)

07:03:59 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:14 PM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:14 PM       1      3.03      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     95.96
07:04:15 PM     all      1.51      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.49
07:04:15 PM       0      2.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.96
07:04:15 PM       1      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:16 PM     all      5.05      0.00      1.52      0.00      0.00      0.00      0.00      0.00      0.00     93.43
07:04:16 PM       0      4.95      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     93.07
07:04:16 PM       1      6.06      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     91.92
07:04:17 PM     all      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.99
07:04:17 PM       0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:17 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:18 PM     all      2.50      0.50      2.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
07:04:18 PM       0      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     95.96
07:04:18 PM       1      2.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
07:04:19 PM     all      1.01      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     98.48
07:04:19 PM       0      2.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:19 PM       1      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:20 PM     all      2.00      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     96.50
07:04:20 PM       0      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     95.96
07:04:20 PM       1      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:21 PM     all      1.01      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     98.48
07:04:21 PM       0      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:21 PM       1      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99

07:04:21 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:22 PM     all      3.50      0.00      3.50      0.00      0.00      0.00      0.00      0.00      0.00     93.00
07:04:22 PM       0      3.00      0.00      5.00      0.00      0.00      0.00      0.00      0.00      0.00     92.00
07:04:22 PM       1      3.03      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     95.96
07:04:23 PM     all      1.01      0.00      1.52      0.00      0.00      0.00      0.00      0.00      0.00     97.47
07:04:23 PM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:23 PM       1      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     95.96
07:04:24 PM     all      1.52      0.00      1.52      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:24 PM       0      1.01      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:24 PM       1      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:25 PM     all      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:25 PM       0      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
